Designator,Mid X,Mid Y,Rotation,Layer
U15,162.1536,-131.8768,180.0,top
U16,113.538,-133.731,90.0,top
U17,149.428304,-132.679446,270.0,top
U18,60.8584,-71.192,180.0,top
U19,71.78138,-59.518952,270.0,top
U2,105.026413,-64.247186,270.0,top
U20,206.698,-90.5045,180.0,top
U21,90.551,-51.6865,180.0,top
U22,127.9536,-51.181,270.0,top
U23,129.3771,-145.960738,270.0,top
U24,139.91,-51.054,270.0,top
U25,141.2265,-145.9708,270.0,top
U26,208.981,-94.8615,90.0,top
U27,64.643,-127.0025,0.0,top
U28,76.9645,-140.335,270.0,top
U29,92.075,-147.828,180.0,top
U3,142.1409,-66.3194,270.0,top
U30,183.6674,-71.6377,0.0,top
U31,204.155,-94.8615,90.0,top
U32,199.305,-94.89,90.0,top
U36,158.5976,-66.548,270.0,top
U4,92.964223,-65.795777,0.0,top
U5,169.806254,-67.714346,180.0,top
U6,125.403304,-67.809946,270.0,top
U7,221.234,-63.596769,180.0,top
U8,221.234,-78.836769,180.0,top
U9,155.778304,-94.544946,90.0,top
